IPTV,#genre#
CCTV-1综合,rtsp://220.186.213.205/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-2财经,rtsp://220.186.213.205/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-3综艺,rtsp://220.186.213.205/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-4中文国际,rtsp://220.186.213.205/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-5体育,rtsp://220.186.213.205/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-6电影,rtsp://220.186.213.205/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-7国防军事,rtsp://220.186.213.205/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-8电视剧,rtsp://220.186.213.205/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-9纪录,rtsp://220.186.213.205/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-10科教,rtsp://220.186.213.205/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-11戏曲,rtsp://220.186.213.205/PLTV/88888913/224/3221227777/10000100000000060000000000304164_0.smil
CCTV-12社会与法,rtsp://220.186.213.205/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil
CCTV-13新闻,rtsp://220.186.213.205/PLTV/88888913/224/3221229154/52628615.smil
CCTV-14少儿,rtsp://220.186.213.205/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil
CCTV-15音乐,rtsp://220.186.213.205/PLTV/88888913/224/3221227993/10000100000000060000000000794054_0.smil
CCTV-5+体育赛事,rtsp://220.186.213.205/PLTV/88888913/224/3221229201/52583204.smil
CCTV-16奥林匹克,rtsp://220.186.213.205/PLTV/88888913/224/3221229331/74036079.smil
CCTV-17农村农业,rtsp://220.186.213.205/PLTV/88888913/224/3221229176/54864243.smil
CCTV4K,http://159.75.85.63:5679/cctv4k.php
浙江卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228038/10000100000000060000000001122729_0.smil
江苏卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil
湖南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil
东方卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil
北京卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil
山东卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil
广东卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil
深圳卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil
安徽卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
重庆卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
东南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
辽宁卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil
河北卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil
江西卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
贵州卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil
四川卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil
河南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
黑龙江卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
湖北卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
天津卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
吉林卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227802/10000100000000060000000000304236_0.smil
内蒙古卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229147/10000100000000060000000004969231_0.smil
宁夏卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227855/10000100000000060000000000304710_0.smil
山西卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227787/10000100000000060000000000304213_0.smil
陕西卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227826/10000100000000060000000000304223_0.smil
广西卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227840/10000100000000060000000000304250_0.smil
甘肃卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229052/10000100000000060000000004969230_0.smil
云南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227830/10000100000000060000000000304238_0.smil
西藏卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228005/10000100000000060000000000793620_0.smil
海南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227803/10000100000000060000000000304212_0.smil
青海卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227765/10000100000000060000000000304132_0.smil
兵团卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228006/10000100000000060000000000789241_0.smil
温州新闻综合,rtsp://220.186.213.205/PLTV/88888913/224/3221228993/10000100000000060000000004199197_0.smil
浙江经济生活,rtsp://220.186.213.205/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil
浙江少儿,rtsp://220.186.213.205/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil
浙江公共新闻,rtsp://220.186.213.205/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil
钱江频道,rtsp://220.186.213.205/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil
浙江教育科技,rtsp://220.186.213.205/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil
浙江民生休闲,rtsp://220.186.213.205/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil
浙江之江纪录,rtsp://220.186.213.205/PLTV/88888913/224/3221229409/92749537.smil
