中央一套高清,rtp://233.50.201.118:5140
浙江卫视高清,rtp://233.50.201.100:5140
钱江频道高清,rtp://233.50.201.132:5140
浙江经视高清,rtp://233.50.201.133:5140
教科影视高清,rtp://233.50.201.134:5140
浙江新闻高清,rtp://233.50.201.137:5140
民生休闲高清,rtp://233.50.201.136:5140
浙江少儿高清,rtp://233.50.201.138:5140
好易购1高清,rtp://233.50.201.248:5140
温州一套测试,rtp://233.50.201.87:5140
江苏国际,rtp://233.50.202.37:5140
环球旅游,rtp://233.50.202.31:5140
中央少儿高清,rtp://233.50.201.124:5140
央广购物,rtp://233.50.201.93:5140
中央二套高清,rtp://233.50.201.119:5140
中央三套高清,rtp://233.50.201.196:5140
中央四套,rtp://233.50.201.4:5140
中央五套高清,rtp://233.50.201.197:5140
中央六套高清,rtp://233.50.201.198:5140
中央七套高清,rtp://233.50.201.120:5140
中央八套高清,rtp://233.50.201.199:5140
中央纪录高清,rtp://233.50.201.121:5140
中央科教高清,rtp://233.50.201.122:5140
中央戏曲,rtp://233.50.201.11:5140
中央十二高清,rtp://233.50.201.123:5140
中央新闻高清,rtp://233.50.201.246:5140
中央音乐,rtp://233.50.201.15:5140
CCTV5+高清,rtp://233.50.201.220:5140
中央奥运测试,rtp://233.50.201.192:5140
睛彩竞技,rtp://233.50.202.26:5140
睛彩篮球,rtp://233.50.202.27:5140
睛彩青少,rtp://233.50.202.28:5140
睛彩广场舞,rtp://233.50.202.29:5140
聚鲨环球精选,rtp://233.50.201.91:5140
东方卫视高清,rtp://233.50.201.125:5140
湖南卫视高清,rtp://233.50.201.103:5140
安徽卫视高清,rtp://233.50.201.113:5140
江苏卫视高清,rtp://233.50.201.106:5140
北京卫视高清,rtp://233.50.201.107:5140
重庆卫视高清,rtp://233.50.201.143:5140
贵州卫视高清,rtp://233.50.201.142:5140
四川卫视高清,rtp://233.50.201.139:5140
广东卫视高清,rtp://233.50.201.102:5140
吉林卫视,rtp://233.50.201.48:5140
之江纪录高清,rtp://233.50.202.25:5140
天津卫视高清,rtp://233.50.201.104:5140
云南卫视,rtp://233.50.201.46:5140
河北卫视高清,rtp://233.50.201.140:5140
黑龙江高清,rtp://233.50.201.115:5140
海南卫视,rtp://233.50.201.55:5140
山东卫视高清,rtp://233.50.201.105:5140
东南卫视高清,rtp://233.50.201.146:5140
湖北卫视高清,rtp://233.50.201.114:5140
辽宁卫视高清,rtp://233.50.201.141:5140
江西卫视高清,rtp://233.50.201.145:5140
青海卫视,rtp://233.50.201.65:5140
西藏卫视,rtp://233.50.201.70:5140
陕西卫视,rtp://233.50.201.59:5140
兵团卫视,rtp://233.50.201.72:5140
山西卫视,rtp://233.50.201.51:5140
宁夏卫视,rtp://233.50.201.57:5140
河南卫视高清,rtp://233.50.201.144:5140
广西卫视,rtp://233.50.201.49:5140
金鹰卡通,rtp://233.50.201.73:5140
卡酷少儿,rtp://233.50.202.33:5140
哈哈炫动,rtp://233.50.201.74:5140
中国教育一套,rtp://233.50.201.75:5140
中国教育四套,rtp://233.50.201.172:5140
深圳卫视高清,rtp://233.50.201.101:5140
